"a","Paste",,,"1624585015683","data_generator.py","1.1.7 for 2019-2020 @t1"
"p","event_book = []
class PhanonPlayback:


  @staticmethod
  def start_playback(data_frame):
    global event_book
    diff_book = []
    event_book = []
    code_book = ''
    pre_action = None
    output_file = open(os.path.join(DATA_DIR, 'output.txt'), 'w')
    for index, row in data_frame.iterrows():
      # print(""Index: "", index)
      event = row['event']
      input = row['input']
      
      if event == 'e':
        cursor_pos = int(row['cursor_pos'])
        if not pd.isna(input):
          # print(index, "" -> "", cursor_pos, input)
          code_book = code_book[:cursor_pos] + input + code_book[cursor_pos:] 
        elif not pd.isna(row['cursor_pos']):
          removed = row['removed']
          if pd.isna(removed):
            # print(""Removed is also null here... : "", row)
            continue            
          removed_length = len(removed)
          if removed_length > 1:
            code_book = code_book[:cursor_pos] + code_book[cursor_pos+len(removed):]
            # code_book = code_book.replace(removed, '')
          else:
            code_book = code_book[:cursor_pos] + code_book[cursor_pos+1:]
          pass
        else:
          continue
        pre_action = None
        # elif event == 'a':
        #   if input and  pre_action:
        #     if pre_action == 'Select All' and input == 'Delete':
        #       pre_action = 'Delete All'
        #   else:
        #     pre_action = input
        
        output_file.write('###########################################################')
        output_file.write(str(index) + '-' + ""Removed: "" + str(len(row['removed'])) if not pd.isna(row['removed']) else '0')
        output_file.write('\n' + str(row) + '\n')

        output_file.write(""************************************************\n"")
        output_file.write(code_book)
        output_file.write(""************************************************\n"")
        # print('---------------')
        # print(""Code: "", code_book)
        # print('---------------')
        diff_book.append(code_book)
        event_book.append(row)
      
      # print(row['event'], row['input'])
    output_file.close()
    return code_book, diff_book",,"0","1624585015896","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","event_book = []
class PhanonPlayback:


  @staticmethod
  def start_playback(data_frame):
    global event_book
    diff_book = []
    event_book = []
    code_book = ''
    pre_action = None
    output_file = open(os.path.join(DATA_DIR, 'output.txt'), 'w')
    for index, row in data_frame.iterrows():
      # print(""Index: "", index)
      event = row['event']
      input = row['input']

      if event == 'e':
        cursor_pos = int(row['cursor_pos'])
        if not pd.isna(input):
          # print(index, "" -> "", cursor_pos, input)
          code_book = code_book[:cursor_pos] + input + code_book[cursor_pos:] 
        elif not pd.isna(row['cursor_pos']):
          removed = row['removed']
          if pd.isna(removed):
            # print(""Removed is also null here... : "", row)
            continue            
          removed_length = len(removed)
          if removed_length > 1:
            code_book = code_book[:cursor_pos] + code_book[cursor_pos+len(removed):]
            # code_book = code_book.replace(removed, '')
          else:
            code_book = code_book[:cursor_pos] + code_book[cursor_pos+1:]
          pass
        else:
          continue
        pre_action = None
        # elif event == 'a':
        #   if input and  pre_action:
        #     if pre_action == 'Select All' and input == 'Delete':
        #       pre_action = 'Delete All'
        #   else:
        #     pre_action = input

        output_file.write('###########################################################')
        output_file.write(str(index) + '-' + ""Removed: "" + str(len(row['removed'])) if not pd.isna(row['removed']) else '0')
        output_file.write('\n' + str(row) + '\n')

        output_file.write(""************************************************\n"")
        output_file.write(code_book)
        output_file.write(""************************************************\n"")
        # print('---------------')
        # print(""Code: "", code_book)
        # print('---------------')
        diff_book.append(code_book)
        event_book.append(row)

      # print(row['event'], row['input'])
    output_file.close()
    return code_book, diff_book","","0","1624585015970","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","","
","41","1624585016288","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","

","","16","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","  ","","42","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","  ","","60","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","   ","","100","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e"," ","","103","1624585016277","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","  ","","126","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","  ","","128","1624585016277","data_generator.py","1.1.7 for 2019-2020 @t1"
"e"," ","","149","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","   ","","150","1624585016277","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","   ","","173","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e"," ","","176","1624585016277","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","  ","","196","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","  ","","198","1624585016277","data_generator.py","1.1.7 for 2019-2020 @t1"
"e"," ","","222","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","   ","","223","1624585016277","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","   ","","292","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e"," ","","295","1624585016277","data_generator.py","1.1.7 for 2019-2020 @t1"
"e","     ","","343","1624585016276","data_generator.py","1.1.7 for 2019-2020 @t1"
"e"," ","","348","1624585016277","data_generator.py","1.1.7 for 2019-2020 @t1"
