"e","# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","1611639488983","main.py",""
"e","# Mitch Brotherson
# CS1400 - CO1
# Assignment ??","","0","1611639502261","Variables.py",""
"e","
","","49","1611639502415","Variables.py",""
"a","Right","","","1611639505553","Variables.py",""
"a","Backspace","","","1611639509826","Variables.py",""
"e","","?","48","1611639509859","Variables.py",""
"a","Backspace","","","1611639510001","Variables.py",""
"e","","?","47","1611639510018","Variables.py",""
"e","2","","47","1611639510941","Variables.py",""
"k","2","","48","1611639510946","Variables.py",""
"e","A","","48","1611639511861","Variables.py",""
"k","A","","49","1611639511863","Variables.py",""
"a","Enter","","","1611639514031","Variables.py",""
"e","
","","50","1611639514068","Variables.py",""
"a","Enter","","","1611639514159","Variables.py",""
"e","
","","51","1611639514173","Variables.py",""
"e","p","","51","1611639667808","Variables.py",""
"k","p","","52","1611639667812","Variables.py",""
"e","r","","52","1611639667947","Variables.py",""
"k","r","","53","1611639667956","Variables.py",""
"e","i","","53","1611639668035","Variables.py",""
"k","i","","54","1611639668038","Variables.py",""
"e","n","","54","1611639668178","Variables.py",""
"k","n","","55","1611639668181","Variables.py",""
"e","g","","55","1611639668237","Variables.py",""
"k","g","","56","1611639668240","Variables.py",""
"a","Backspace","","","1611639668589","Variables.py",""
"e","","g","55","1611639668603","Variables.py",""
"e","t","","55","1611639668721","Variables.py",""
"k","t","","56","1611639668723","Variables.py",""
"e","(","","56","1611639670096","Variables.py",""
"e",")","","57","1611639670111","Variables.py",""
"k","(","","57","1611639670116","Variables.py",""
"e","""","","57","1611639671622","Variables.py",""
"e","""","","58","1611639671638","Variables.py",""
"k","""","","58","1611639671639","Variables.py",""
"e","T","","58","1611639674528","Variables.py",""
"k","T","","59","1611639674532","Variables.py",""
"e","h","","59","1611639674636","Variables.py",""
"k","h","","60","1611639674638","Variables.py",""
"e","e","","60","1611639674726","Variables.py",""
"k","e","","61","1611639674728","Variables.py",""
"e"," ","","61","1611639674795","Variables.py",""
"k"," ","","62","1611639674797","Variables.py",""
"e","a","","62","1611639675142","Variables.py",""
"k","a","","63","1611639675144","Variables.py",""
"e","r","","63","1611639675364","Variables.py",""
"k","r","","64","1611639675366","Variables.py",""
"e","e","","64","1611639675508","Variables.py",""
"k","e","","65","1611639675511","Variables.py",""
"e","a","","65","1611639675633","Variables.py",""
"k","a","","66","1611639675636","Variables.py",""
"e"," ","","66","1611639675912","Variables.py",""
"k"," ","","67","1611639675914","Variables.py",""
"e","i","","67","1611639676211","Variables.py",""
"k","i","","68","1611639676213","Variables.py",""
"e","s","","68","1611639676313","Variables.py",""
