e,"# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
",,0,1611774420254,main.py
e,"# @@@@@@ @@@@@
# CS1400 - 001
# Assignment ??",,0,1611774433295,task1.py
e,"
",,45,1611774433401,task1.py
a,Backspace,,,1611774459415,task1.py
e,,?,44,1611774459432,task1.py
a,Backspace,,,1611774459556,task1.py
e,,?,43,1611774459567,task1.py
e,2,,43,1611774459769,task1.py
k,2,,44,1611774459773,task1.py
e,",",,44,1611774465306,task1.py
k,",",,45,1611774465307,task1.py
e,t,,45,1611774465438,task1.py
k,t,,46,1611774465439,task1.py
e,a,,46,1611774465508,task1.py
k,a,,47,1611774465509,task1.py
e,s,,47,1611774465614,task1.py
k,s,,48,1611774465614,task1.py
e,k,,48,1611774465717,task1.py
k,k,,49,1611774465719,task1.py
e,1,,49,1611774466316,task1.py
k,1,,50,1611774466317,task1.py
a,Enter,,,1611774467372,task1.py
e,"
",,51,1611774467402,task1.py
e,i,,51,1611774475502,task1.py
k,i,,52,1611774475503,task1.py
e,n,,52,1611774475563,task1.py
k,n,,53,1611774475567,task1.py
e,p,,53,1611774476237,task1.py
k,p,,54,1611774476247,task1.py
e,u,,54,1611774476318,task1.py
k,u,,55,1611774476326,task1.py
e,t,,55,1611774476383,task1.py
k,t,,56,1611774476392,task1.py
e,(,,56,1611774477107,task1.py
e,),,57,1611774477122,task1.py
k,(,,57,1611774477124,task1.py
a,Backspace,,,1611774477525,task1.py
e,,(,56,1611774477536,task1.py
e,,),56,1611774477544,task1.py
e,(,,56,1611774478360,task1.py
e,),,57,1611774478367,task1.py
k,(,,57,1611774478368,task1.py
e,i,,57,1611774479256,task1.py
k,i,,58,1611774479257,task1.py
e,n,,58,1611774479305,task1.py
k,n,,59,1611774479306,task1.py
e,t,,59,1611774479396,task1.py
k,t,,60,1611774479409,task1.py
e,(,,60,1611774480225,task1.py
e,),,62,1611774480235,task1.py
k,(,,61,1611774480236,task1.py
e,I,,61,1611774485617,task1.py
k,I,,62,1611774485619,task1.py
e,n,,62,1611774485868,task1.py
k,n,,63,1611774485882,task1.py
e,v,,63,1611774485958,task1.py
k,v,,64,1611774485967,task1.py
e,e,,64,1611774486143,task1.py
k,e,,65,1611774486144,task1.py
e,s,,65,1611774486267,task1.py
k,s,,66,1611774486267,task1.py
e,t,,66,1611774486335,task1.py
k,t,,67,1611774486336,task1.py
e,m,,67,1611774486898,task1.py
k,m,,68,1611774486899,task1.py
e,e,,68,1611774486977,task1.py
k,e,,69,1611774486978,task1.py
e,n,,69,1611774487084,task1.py
k,n,,70,1611774487085,task1.py
e,t,,70,1611774487173,task1.py
k,t,,71,1611774487174,task1.py
e, ,,71,1611774487262,task1.py
k, ,,72,1611774487263,task1.py
e,a,,72,1611774487533,task1.py
k,a,,73,1611774487534,task1.py
e,m,,73,1611774487634,task1.py
k,m,,74,1611774487635,task1.py
e,m,,74,1611774487753,task1.py
k,m,,75,1611774487760,task1.py
e,o,,75,1611774488004,task1.py
k,o,,76,1611774488005,task1.py
e,u,,76,1611774488100,task1.py
k,u,,77,1611774488102,task1.py
e,t,,77,1611774488203,task1.py
k,t,,78,1611774488204,task1.py
a,Backspace,,,1611774488478,task1.py
e,,t,77,1611774488485,task1.py
a,Backspace,,,1611774488637,task1.py
e,,u,76,1611774488645,task1.py
a,Backspace,,,1611774488817,task1.py
e,,o,75,1611774488824,task1.py
a,Backspace,,,1611774489219,task1.py
e,,m,74,1611774489227,task1.py
a,Backspace,,,1611774489751,task1.py
e,,m,73,1611774489771,task1.py
a,Backspace,,,1611774489784,task1.py
e,,a,72,1611774489794,task1.py
a,Backspace,,,1611774489811,task1.py
e,, ,71,1611774489820,task1.py
a,Backspace,,,1611774489843,task1.py
e,,t,70,1611774489851,task1.py
a,Backspace,,,1611774489874,task1.py
e,,n,69,1611774489882,task1.py
a,Backspace,,,1611774490149,task1.py
a,Backspace,,,1611774490150,task1.py
e,,e,68,1611774490157,task1.py
a,Backspace,,,1611774490499,task1.py
e,,m,67,1611774490519,task1.py
a,Backspace,,,1611774491189,task1.py
e,,t,66,1611774491197,task1.py
a,Backspace,,,1611774491640,task1.py
e,,s,65,1611774491648,task1.py
a,Backspace,,,1611774491871,task1.py
e,,e,64,1611774491879,task1.py
e,e,,64,1611774493873,task1.py
k,e,,65,1611774493874,task1.py
e,s,,65,1611774493941,task1.py
k,s,,66,1611774493943,task1.py
e,t,,66,1611774494202,task1.py
k,t,,67,1611774494203,task1.py
e,n,,67,1611774495692,task1.py
k,n,,68,1611774495693,task1.py
e,e,,68,1611774495775,task1.py
k,e,,69,1611774495776,task1.py
e,b,,69,1611774495884,task1.py
k,b,,70,1611774495885,task1.py
e,t,,70,1611774496009,task1.py
k,t,,71,1611774496011,task1.py
e, ,,71,1611774496072,task1.py
k, ,,72,1611774496072,task1.py
a,Backspace,,,1611774496607,task1.py
e,, ,71,1611774496614,task1.py
a,Backspace,,,1611774496771,task1.py
e,,t,70,1611774496780,task1.py
a,Backspace,,,1611774496929,task1.py
e,,b,69,1611774496936,task1.py
a,Backspace,,,1611774497079,task1.py
e,,e,68,1611774497086,task1.py
a,Backspace,,,1611774497265,task1.py
e,,n,67,1611774497274,task1.py
e,m,,67,1611774497744,task1.py
k,m,,68,1611774497745,task1.py
e,e,,68,1611774497825,task1.py
k,e,,69,1611774497825,task1.py
e,n,,69,1611774497915,task1.py
k,n,,70,1611774497916,task1.py
e,t,,70,1611774497990,task1.py
k,t,,71,1611774497991,task1.py
e, ,,71,1611774498070,task1.py
k, ,,72,1611774498071,task1.py
e,A,,72,1611774498518,task1.py
k,A,,73,1611774498519,task1.py
e,M,,73,1611774498562,task1.py
k,M,,74,1611774498563,task1.py
e,o,,74,1611774498856,task1.py
k,o,,75,1611774498863,task1.py
e,u,,75,1611774498941,task1.py
k,u,,76,1611774498942,task1.py
e,n,,76,1611774499154,task1.py
k,n,,77,1611774499155,task1.py
e,t,,77,1611774499217,task1.py
k,t,,78,1611774499218,task1.py
a,Backspace,,,1611774499413,task1.py
e,,t,77,1611774499420,task1.py
a,Backspace,,,1611774499574,task1.py
e,,n,76,1611774499583,task1.py
a,Backspace,,,1611774499744,task1.py
e,,u,75,1611774499751,task1.py
a,Backspace,,,1611774499898,task1.py
a,Backspace,,,1611774499899,task1.py
e,,o,74,1611774499905,task1.py
a,Backspace,,,1611774500208,task1.py
e,,M,73,1611774500215,task1.py
a,Backspace,,,1611774500514,task1.py
e,,A,72,1611774500525,task1.py
a,Backspace,,,1611774501035,task1.py
e,, ,71,1611774501043,task1.py
a,Backspace,,,1611774501065,task1.py
e,,t,70,1611774501072,task1.py
a,Backspace,,,1611774501096,task1.py
e,,n,69,1611774501103,task1.py
a,Backspace,,,1611774501126,task1.py
e,,e,68,1611774501133,task1.py
a,Backspace,,,1611774501162,task1.py
e,,m,67,1611774501170,task1.py
a,Backspace,,,1611774501204,task1.py
e,,t,66,1611774501210,task1.py
a,Backspace,,,1611774501240,task1.py
e,,s,65,1611774501249,task1.py
a,Backspace,,,1611774501453,task1.py
e,,e,64,1611774501460,task1.py
a,Backspace,,,1611774501624,task1.py
e,,v,63,1611774501632,task1.py
a,Backspace,,,1611774501793,task1.py
e,,n,62,1611774501799,task1.py
a,Backspace,,,1611774501997,task1.py
e,,I,61,1611774502004,task1.py
e,"""",,61,1611774502530,task1.py
e,"""",,62,1611774502542,task1.py
k,"""",,62,1611774502543,task1.py
e,I,,62,1611774503188,task1.py
k,I,,63,1611774503189,task1.py
e,n,,63,1611774503402,task1.py
k,n,,64,1611774503403,task1.py
e,e,,64,1611774503464,task1.py
k,e,,65,1611774503465,task1.py
e,v,,65,1611774503592,task1.py
k,v,,66,1611774503593,task1.py
e,e,,66,1611774503765,task1.py
k,e,,67,1611774503766,task1.py
e,s,,67,1611774503887,task1.py
k,s,,68,1611774503888,task1.py
e,t,,68,1611774503953,task1.py
k,t,,69,1611774503955,task1.py
a,Backspace,,,1611774504554,task1.py
e,,t,68,1611774504561,task1.py
a,Backspace,,,1611774504717,task1.py
e,,s,67,1611774504724,task1.py
a,Backspace,,,1611774504903,task1.py
e,,e,66,1611774504912,task1.py
a,Backspace,,,1611774505077,task1.py
e,,v,65,1611774505084,task1.py
a,Backspace,,,1611774505205,task1.py
e,,e,64,1611774505212,task1.py
e,v,,64,1611774505330,task1.py
k,v,,65,1611774505331,task1.py
e,e,,65,1611774505446,task1.py
k,e,,66,1611774505447,task1.py
e,s,,66,1611774505522,task1.py
k,s,,67,1611774505522,task1.py
e,t,,67,1611774505659,task1.py
k,t,,68,1611774505660,task1.py
e,M,,68,1611774506659,task1.py
k,M,,69,1611774506660,task1.py
e,e,,69,1611774506823,task1.py
k,e,,70,1611774506824,task1.py
e,n,,70,1611774506889,task1.py
k,n,,71,1611774506890,task1.py
