"e","# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","1613452637542","main.py",""
"e","# Mitch Brotherson
# CS1400 - CO1
# Assignment ??","","0","1613452660241","task1.py",""
"e","
","","49","1613452660390","task1.py",""
"e","S","","0","1613460675806","plan1",""
"k","S","","1","1613460675818","plan1",""
"e",";","","1","1613460676005","plan1",""
"k",";","","2","1613460676007","plan1",""
"e","y","","2","1613460676027","plan1",""
"k","y","","3","1613460676028","plan1",""
"e","s","","3","1613460676198","plan1",""
"k","s","","4","1613460676201","plan1",""
"a","Backspace","","","1613460676474","plan1",""
"e","","s","3","1613460676490","plan1",""
"a","Backspace","","","1613460676643","plan1",""
"e","","y","2","1613460676653","plan1",""
"a","Backspace","","","1613460676774","plan1",""
"e","",";","1","1613460676784","plan1",""
"a","Backspace","","","1613460677009","plan1",""
"e","","S","0","1613460677027","plan1",""
"e","#","","0","1613460677873","plan1",""
"k","#","","1","1613460677875","plan1",""
"a","Backspace","","","1613460683570","plan1",""
"a","Backspace","","","1613460684112","plan1",""
"a","Undo Typing","","","1613460688807","plan1",""
"e","","#","0","1613460688819","plan1",""
"a","EditorChange","","","1613460691254","plan1",""
"e","l","","0","1613460692406","plan1",""
"k","l","","1","1613460692407","plan1",""
"a","Backspace","","","1613460693062","plan1",""
"a","Backspace","","","1613460695369","plan1",""
"a","Backspace","","","1613460696133","plan1",""
"a","Backspace","","","1613460696789","plan1",""
"a","Backspace","","","1613460703011","plan1",""
"a","Find Next / Move to Next Occurrence","","","1613460705641","plan1",""
"a","Close Active Editor","","","1613460709954","plan1",""
"a","Deleting file plan1","","","1613460717425","plan1",""
"a","Creating file C:\Users\Mitch\Dropbox\CS1400\Brotherson-Mitch-Assn4-Spring2021\plan1","","","1613460730788","plan1",""
"e","","l","0","1613460734305","plan1",""
"e"," S","","0","1613460734306","plan1",""
"k","S","","2","1613460734308","plan1",""
"e","y","","2","1613460734599","plan1",""
"k","y","","3","1613460734601","plan1",""
"e","s","","3","1613460734668","plan1",""
"k","s","","4","1613460734669","plan1",""
"e","t","","4","1613460735153","plan1",""
"k","t","","5","1613460735156","plan1",""
"e","e","","5","1613460735290","plan1",""
"k","e","","6","1613460735293","plan1",""
"e","m","","6","1613460735391","plan1",""
"k","m","","7","1613460735393","plan1",""
"e","R","","7","1613460736980","plan1",""
"k","R","","8","1613460736982","plan1",""
"e","e","","8","1613460737348","plan1",""
"k","e","","9","1613460737350","plan1",""
"e","q","","9","1613460737870","plan1",""
"k","q","","10","1613460737871","plan1",""
"a","Enter","","","1613460738314","plan1",""
"a","Tab","","","1613460738798","plan1",""
"e","
    ","","10","1613460738811","plan1",""
"e","u","","15","1613460742608","plan1",""
"k","u","","16","1613460742610","plan1",""
"e","s","","16","1613460742746","plan1",""
"k","s","","17","1613460742748","plan1",""
"e","e","","17","1613460742934","plan1",""
"k","e","","18","1613460742936","plan1",""
"e","r","","18","1613460743055","plan1",""
"k","r","","19","1613460743057","plan1",""
"k"," ","","20","1613460743206","plan1",""
"e"," i","","19","1613460743508","plan1",""
"k","i","","21","1613460743511","plan1",""
"e","n","","21","1613460743662","plan1",""
"k","n","","22","1613460743663","plan1",""
"e","p","","22","1613460743907","plan1",""
"k","p","","23","1613460743909","plan1",""
"e","u","","23","1613460744023","plan1",""
"k","u","","24","1613460744025","plan1",""
"e","t","","24","1613460744189","plan1",""
"k","t","","25","1613460744191","plan1",""
"k"," ","","26","1613460744295","plan1",""
"e"," n","","25","1613460745483","plan1",""
"k","n","","27","1613460745486","plan1",""
"e","u","","27","1613460745682","plan1",""
"k","u","","28","1613460745683","plan1",""
"e","m","","28","1613460745931","plan1",""
"k","m","","29","1613460745932","plan1",""
"e","b","","29","1613460746043","plan1",""
"k","b","","30","1613460746045","plan1",""
"e","e","","30","1613460746244","plan1",""
"k","e","","31","1613460746247","plan1",""
"e","r","","31","1613460746328","plan1",""
"k","r","","32","1613460746330","plan1",""
"k"," ","","33","1613460746533","plan1",""
"e"," a","","32","1613460748378","plan1",""
"k","a","","34","1613460748380","plan1",""
"e","n","","34","1613460748477","plan1",""
"k","n","","35","1613460748479","plan1",""
"e","d","","35","1613460748556","plan1",""
"k","d","","36","1613460748557","plan1",""
"k"," ","","37","1613460748647","plan1",""
"e"," p","","36","1613460756874","plan1",""
"k","p","","38","1613460756876","plan1",""
"e","y","","38","1613460757100","plan1",""
"k","y","","39","1613460757102","plan1",""
"e","r","","39","1613460757605","plan1",""
"k","r","","40","1613460757607","plan1",""
"e","i","","40","1613460757743","plan1",""
"k","i","","41","1613460757745","plan1",""
"e","m","","41","1613460757966","plan1",""
"k","m","","42","1613460757967","plan1",""
"e","i","","42","1613460758149","plan1",""
"k","i","","43","1613460758151","plan1",""
"a","Backspace","","","1613460758594","plan1",""
"e","","i","42","1613460758629","plan1",""
"e","d","","42","1613460758714","plan1",""
"k","d","","43","1613460758715","plan1",""
"k"," ","","44","1613460758830","plan1",""
"a","Backspace","","","1613460759551","plan1",""
"a","Backspace","","","1613460759733","plan1",""
"e","","d","42","1613460759750","plan1",""
"a","Backspace","","","1613460760116","plan1",""
"e","","m","41","1613460760234","plan1",""
"a","Backspace","","","1613460760376","plan1",""
"e","","i","40","1613460760394","plan1",""
"e","i","","40","1613460761129","plan1",""
"k","i","","41","1613460761131","plan1",""
"e","m","","41","1613460761279","plan1",""
"k","m","","42","1613460761281","plan1",""
"e","i","","42","1613460761475","plan1",""
"k","i","","43","1613460761477","plan1",""
"e","d","","43","1613460761607","plan1",""
"k","d","","44","1613460761609","plan1",""
"k"," ","","45","1613460761729","plan1",""
"a","Backspace","","","1613460762936","plan1",""
"a","Backspace","","","1613460763124","plan1",""
"e","","d","43","1613460763139","plan1",""
"a","Backspace","","","1613460763313","plan1",""
"e","","i","42","1613460763332","plan1",""
"a","Backspace","","","1613460763546","plan1",""
"e","","m","41","1613460763564","plan1",""
"a","Backspace","","","1613460763781","plan1",""
"e","","i","40","1613460763799","plan1",""
"e","a","","40","1613460763984","plan1",""
"k","a","","41","1613460763985","plan1",""
"k"," ","","42","1613460764116","plan1",""
"a","Backspace","","","1613460764614","plan1",""
"e","m","","41","1613460765188","plan1",""
"k","m","","42","1613460765189","plan1",""
"e","i","","42","1613460765636","plan1",""
"k","i","","43","1613460765637","plan1",""
"e","d","","43","1613460765755","plan1",""
"k","d","","44","1613460765755","plan1",""
"k"," ","","45","1613460765800","plan1",""
"e"," o","","44","1613460766182","plan1",""
"k","o","","46","1613460766183","plan1",""
"e","f","","46","1613460766243","plan1",""
"k","f","","47","1613460766244","plan1",""
"k"," ","","48","1613460766335","plan1",""
"a","Backspace","","","1613460767364","plan1",""
"a","Backspace","","","1613460767582","plan1",""
"e","","f","46","1613460767599","plan1",""
"a","Backspace","","","1613460767787","plan1",""
"e","","o","45","1613460767805","plan1",""
"e","o","","45","1613460770348","plan1",""
"k","o","","46","1613460770350","plan1",""
"e","f","","46","1613460770467","plan1",""
"k","f","","47","1613460770469","plan1",""
"k"," ","","48","1613460770559","plan1",""
"e"," n","","47","1613460770784","plan1",""
"k","n","","49","1613460770788","plan1",""
"e","u","","49","1613460770978","plan1",""
"k","u","","50","1613460770980","plan1",""
"e","m","","50","1613460771234","plan1",""
"k","m","","51","1613460771235","plan1",""
"e","b","","51","1613460771367","plan1",""
"k","b","","52","1613460771370","plan1",""
"e","e","","52","1613460771622","plan1",""
"k","e","","53","1613460771624","plan1",""
"e","r","","53","1613460771707","plan1",""
"k","r","","54","1613460771708","plan1",""
"e","s","","54","1613460771883","plan1",""
"k","s","","55","1613460771885","plan1",""
"k"," ","","56","1613460771973","plan1",""
"a","Backspace","","","1613460772383","plan1",""
"e",",","","55","1613460772953","plan1",""
"k",",","","56","1613460772954","plan1",""
"k"," ","","57","1613460773049","plan1",""
"e"," w","","56","1613460773398","plan1",""
"k","w","","58","1613460773399","plan1",""
"e","i","","58","1613460773469","plan1",""
"k","i","","59","1613460773470","plan1",""
