"e","# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","1612829774016","main.py",""
"e","a","","0","1612829907419","task1.txt",""
"k","a","","1","1612829907433","task1.txt",""
"e","s","","1","1612829907577","task1.txt",""
"k","s","","2","1612829907580","task1.txt",""
"e","k","","2","1612829907587","task1.txt",""
"k","k","","3","1612829907588","task1.txt",""
"k"," ","","4","1612829907672","task1.txt",""
"e"," u","","3","1612829908013","task1.txt",""
"k","u","","5","1612829908013","task1.txt",""
"e","s","","5","1612829908109","task1.txt",""
"k","s","","6","1612829908110","task1.txt",""
"e","e","","6","1612829908171","task1.txt",""
"k","e","","7","1612829908172","task1.txt",""
"e","r","","7","1612829908244","task1.txt",""
"k","r","","8","1612829908245","task1.txt",""
"k"," ","","9","1612829908285","task1.txt",""
"e"," f","","8","1612829908614","task1.txt",""
"k","f","","10","1612829908616","task1.txt",""
"e","o","","10","1612829908700","task1.txt",""
"k","o","","11","1612829908701","task1.txt",""
"e","r","","11","1612829908787","task1.txt",""
"k","r","","12","1612829908788","task1.txt",""
"k"," ","","13","1612829908837","task1.txt",""
"e"," n","","12","1612829910845","task1.txt",""
"k","n","","14","1612829910846","task1.txt",""
"e","u","","14","1612829910942","task1.txt",""
"k","u","","15","1612829910943","task1.txt",""
"e","m","","15","1612829911157","task1.txt",""
"k","m","","16","1612829911158","task1.txt",""
"e","b","","16","1612829911366","task1.txt",""
"k","b","","17","1612829911367","task1.txt",""
"e","e","","17","1612829911395","task1.txt",""
"k","e","","18","1612829911396","task1.txt",""
"e","r","","18","1612829911467","task1.txt",""
"k","r","","19","1612829911467","task1.txt",""
"k"," ","","20","1612829911527","task1.txt",""
"e"," o","","19","1612829911731","task1.txt",""
"k","o","","21","1612829911732","task1.txt",""
"e","f","","21","1612829911770","task1.txt",""
"k","f","","22","1612829911770","task1.txt",""
"k"," ","","23","1612829911868","task1.txt",""
"e"," r","","22","1612829912013","task1.txt",""
"k","r","","24","1612829912014","task1.txt",""
"e","o","","24","1612829912110","task1.txt",""
"k","o","","25","1612829912111","task1.txt",""
"e","w","","25","1612829912237","task1.txt",""
"k","w","","26","1612829912238","task1.txt",""
"e","s","","26","1612829912426","task1.txt",""
"k","s","","27","1612829912427","task1.txt",""
"a","Enter","","","1612829912543","task1.txt",""
"e","
","","27","1612829912572","task1.txt",""
"e","c","","28","1612829913600","task1.txt",""
"k","c","","29","1612829913601","task1.txt",""
"e","r","","29","1612829913875","task1.txt",""
"k","r","","30","1612829913876","task1.txt",""
"e","e","","30","1612829913944","task1.txt",""
"k","e","","31","1612829913945","task1.txt",""
"e","a","","31","1612829914025","task1.txt",""
"k","a","","32","1612829914026","task1.txt",""
"e","t","","32","1612829914169","task1.txt",""
"k","t","","33","1612829914170","task1.txt",""
"e","e","","33","1612829914238","task1.txt",""
"k","e","","34","1612829914239","task1.txt",""
"k"," ","","35","1612829914329","task1.txt",""
"e"," a","","34","1612829914482","task1.txt",""
"k","a","","36","1612829914482","task1.txt",""
"k"," ","","37","1612829914544","task1.txt",""
"e"," f","","36","1612829914899","task1.txt",""
"k","f","","38","1612829914899","task1.txt",""
"e","o","","38","1612829914983","task1.txt",""
"k","o","","39","1612829914984","task1.txt",""
"e","r","","39","1612829915072","task1.txt",""
"k","r","","40","1612829915073","task1.txt",""
"k"," ","","41","1612829915127","task1.txt",""
"e"," l","","40","1612829915342","task1.txt",""
"k","l","","42","1612829915343","task1.txt",""
"e","o","","42","1612829915565","task1.txt",""
"k","o","","43","1612829915565","task1.txt",""
"e","p","","43","1612829915724","task1.txt",""
"k","p","","44","1612829915725","task1.txt",""
"k"," ","","45","1612829915903","task1.txt",""
"a","Backspace","","","1612829916233","task1.txt",""
"a","Backspace","","","1612829916413","task1.txt",""
"e","","p","43","1612829916422","task1.txt",""
"e","o","","43","1612829916656","task1.txt",""
"k","o","","44","1612829916657","task1.txt",""
"e","p","","44","1612829916751","task1.txt",""
"k","p","","45","1612829916752","task1.txt",""
"k"," ","","46","1612829917113","task1.txt",""
"e"," o","","45","1612829917525","task1.txt",""
"k","o","","47","1612829917525","task1.txt",""
"e","f","","47","1612829917618","task1.txt",""
"k","f","","48","1612829917619","task1.txt",""
"k"," ","","49","1612829917651","task1.txt",""
"e"," i","","48","1612829917898","task1.txt",""
"k","i","","50","1612829917899","task1.txt",""
"k"," ","","51","1612829917949","task1.txt",""
"e"," i","","50","1612829918139","task1.txt",""
"k","i","","52","1612829918139","task1.txt",""
"e","n","","52","1612829918204","task1.txt",""
"k","n","","53","1612829918204","task1.txt",""
"k"," ","","54","1612829918276","task1.txt",""
"e"," r","","53","1612829918443","task1.txt",""
"k","r","","55","1612829918444","task1.txt",""
"e","a","","55","1612829918545","task1.txt",""
"k","a","","56","1612829918546","task1.txt",""
"e","n","","56","1612829918749","task1.txt",""
"k","n","","57","1612829918750","task1.txt",""
"e","g","","57","1612829918883","task1.txt",""
"k","g","","58","1612829918884","task1.txt",""
"e","e","","58","1612829919053","task1.txt",""
"k","e","","59","1612829919053","task1.txt",""
"e","(","","59","1612829919795","task1.txt",""
"k","(","","60","1612829919796","task1.txt",""
"e","1","","60","1612829921068","task1.txt",""
"k","1","","61","1612829921069","task1.txt",""
"e",",","","61","1612829921153","task1.txt",""
"k",",","","62","1612829921155","task1.txt",""
"k"," ","","28","1612829925997","task1.txt",""
"e"," s","","27","1612829926107","task1.txt",""
"k","s","","29","1612829926107","task1.txt",""
"e","t","","29","1612829926217","task1.txt",""
"k","t","","30","1612829926219","task1.txt",""
"e","r","","30","1612829926312","task1.txt",""
"k","r","","31","1612829926313","task1.txt",""
"e","o","","31","1612829926404","task1.txt",""
"k","o","","32","1612829926405","task1.txt",""
"k"," ","","33","1612829926517","task1.txt",""
"a","Backspace","","","1612829926992","task1.txt",""
"a","Backspace","","","1612829927150","task1.txt",""
"e","","o","31","1612829927159","task1.txt",""
"a","Backspace","","","1612829927320","task1.txt",""
"e","","r","30","1612829927327","task1.txt",""
"e","o","","30","1612829927561","task1.txt",""
"k","o","","31","1612829927561","task1.txt",""
"e","r","","31","1612829927664","task1.txt",""
"k","r","","32","1612829927664","task1.txt",""
"e","e","","32","1612829927727","task1.txt",""
"k","e","","33","1612829927728","task1.txt",""
"k"," ","","34","1612829927763","task1.txt",""
"e"," i","","33","1612829927989","task1.txt",""
"k","i","","35","1612829927990","task1.txt",""
"e","t","","35","1612829928072","task1.txt",""
"k","t","","36","1612829928073","task1.txt",""
"k"," ","","37","1612829928129","task1.txt",""
"e"," i","","36","1612829928264","task1.txt",""
"k","i","","38","1612829928265","task1.txt",""
"e","n","","38","1612829928304","task1.txt",""
"k","n","","39","1612829928305","task1.txt",""
"k"," ","","40","1612829928376","task1.txt",""
"e"," r","","39","1612829929632","task1.txt",""
"k","r","","41","1612829929633","task1.txt",""
"e","o","","41","1612829929698","task1.txt",""
"k","o","","42","1612829929699","task1.txt",""
"e","w","","42","1612829929824","task1.txt",""
"k","w","","43","1612829929824","task1.txt",""
"e","s","","43","1612829930018","task1.txt",""
"k","s","","44","1612829930020","task1.txt",""
"k"," ","","80","1612829932058","task1.txt",""
"e"," r","","79","1612829932507","task1.txt",""
"k","r","","81","1612829932507","task1.txt",""
"e","o","","81","1612829932594","task1.txt",""
"k","o","","82","1612829932594","task1.txt",""
"e","w","","82","1612829932726","task1.txt",""
"k","w","","83","1612829932727","task1.txt",""
"e","s","","83","1612829932944","task1.txt",""
"k","s","","84","1612829932944","task1.txt",""
"e","+","","84","1612829933292","task1.txt",""
"k","+","","85","1612829933293","task1.txt",""
"e","1","","85","1612829933785","task1.txt",""
"k","1","","86","1612829933786","task1.txt",""
"e",")","","86","1612829934855","task1.txt",""
"k",")","","87","1612829934855","task1.txt",""
"a","Enter","","","1612829937906","task1.txt",""
"e","
","","87","1612829937918","task1.txt",""
"a","Tab","","","1612829938024","task1.txt",""
"e","    ","","88","1612829938035","task1.txt",""
"a","Enter","","","1612829944139","task1.txt",""
"k","l","","46","1612829947737","task1.txt",""
"k","e","","47","1612829947855","task1.txt",""
"k","n","","48","1612829947916","task1.txt",""
"k","g","","49","1612829948090","task1.txt",""
"a","Backspace","","","1612829949484","task1.txt",""
"a","Backspace","","","1612829949651","task1.txt",""
"a","Backspace","","","1612829949832","task1.txt",""
"a","Backspace","","","1612829950004","task1.txt",""
"k","f","","46","1612829950546","task1.txt",""
"k","i","","47","1612829950627","task1.txt",""
"k","n","","48","1612829950671","task1.txt",""
"k","d","","49","1612829950746","task1.txt",""
"k"," ","","50","1612829950844","task1.txt",""
"k","l","","51","1612829951002","task1.txt",""
"k","e","","52","1612829951067","task1.txt",""
"k","n","","53","1612829951169","task1.txt",""
"k","g","","54","1612829951306","task1.txt",""
"k","t","","55","1612829951496","task1.txt",""
"k","h","","56","1612829951528","task1.txt",""
"k"," ","","57","1612829951602","task1.txt",""
"k","b","","58","1612829951932","task1.txt",""
"k","y","","59","1612829952045","task1.txt",""
